,id,name,categories,lat,lng,postalCode
47,4b6cc481f964a520f9522ce3,Bengal Village,Indian Restaurant,51.520176596198326,-0.07185537247934,E1 6QL
48,4b896da4f964a520563532e3,Brick Lane Clipper,Indian Restaurant,51.51976003170713,-0.07177079894442387,E1 6RL
49,4c03b240187ec9283ff5b57b,Preem and Prithi,Indian Restaurant,51.520223561458366,-0.07186976761204208,E1 6RU
50,58dc064f3ef0f673df716fdc,Jasmine,Indian Restaurant,51.520448,-0.071815,E1 6RU
51,4b77054cf964a5202b752ee3,Café Raj,Indian Restaurant,51.520319,-0.07149,
52,4dbc4a360437955ec02ec7ee,Brasserie House of Spice,Indian Restaurant,51.519903869728076,-0.07182071096378748,
53,4be31fe021d5a59335421811,Mango,Indian Restaurant,51.519464453911716,-0.07168048123604447,E1 6RL
54,4e208a42ae6015b2129c6fd9,Rajmahal Sweets,Indian Restaurant,51.51914651479899,-0.07164416711269289,E1 6PU
56,5b925ded1c0b340039ead27f,Indi-Go Rasoi,Indian Restaurant,51.51945,-0.0752363,E1 6AA
57,50d9afc1e4b0ab0eeff00629,Amar Gaon,Indian Restaurant,51.51846398458866,-0.07132668155007685,E1 6RF
58,4c516a729d642d7fc10b7edd,Al Badar,Indian Restaurant,51.51843912608019,-0.07142345340912995,E1 6PU
60,549c2ccc498e24891112be55,Shaad Grill,Indian Restaurant,51.517818,-0.071045,E1 6PU
61,4ebbcccb0aafea64828a0f67,Walla Walla,Indian Restaurant,51.51712163297419,-0.08293552963727248,EC2M 7PD
62,4ac518ddf964a52085a920e3,Sonargaon,Indian Restaurant,51.51710928398365,-0.07034844253573103,E1 6TD
63,4ac518dbf964a52014a920e3,Rajasthan,Indian Restaurant,51.5093491165096,-0.08422412572575749,EC3R 8BU
64,4c93bb7bf244b1f7eb7f1b1d,Bombay Grill,Indian Restaurant,51.51861803485744,-0.062017330271837444,E1 1DE
65,4e19fa3dae6092c27660bef7,Shahi Karahi,Indian Restaurant,51.51683823694888,-0.07009611111097686,E1 6TD
66,4d6a746c30a7236a774282ac,Baraka,Indian Restaurant,51.517418,-0.066506,E1 1JX
67,55f566db498e302d8af14759,indi go,Indian Restaurant,51.51981852911091,-0.075130090540654,
68,4c88e182944e224b25b21f85,Sripur,Indian Restaurant,51.50981871284246,-0.08072265952887196,EC3R 5AQ
69,4b647cb9f964a52034b72ae3,Mirch Masala,Indian Restaurant,51.51566273469337,-0.0655875960215279,E1 1RD
70,585c2258158b9642d60e3347,Ambala Sweets,Indian Restaurant,51.51829,-0.06297961,E1 1JE
